Out,Money in Pocket,250,2/3/2026,Cash,Cash,From GCash Loads
In,Basic Pay,34061.32,2/20/2026,Cash,Landbank,Paid salary
In,Clothing Allowance,7000.00,2/23/2026,Cash,Landbank,
Out,Meta Verified,773.25,2/1/2026,Credit,Atome,Billed
Out,Apple,514.47,2/1/2026,Credit,Atome,Billed
Out,YouTube Premium,194.86,2/2/2026,Credit,Atome,Billed
Out,PLDT,2595.00,2/18/2026,Cash,Metrobank Savings,Billed
Out,PMC-iPad Air,2015.00,2/22/2026,Credit,Unionbank CC,Billed
Out,Netflix,812.43,2/28/2026,Credit,Atome,Billed
Out,Discord Nitro,272.17,2/28/2026,Credit,Atome,Billed
Out,Family Support,6000.00,2/22/2026,Cash,Landbank,Withdrawn. Reduced due to Lala's hospital bill
Out,McDo Iligan San Miguel,436.00,2/2/2026,Credit,Maya Black CC,Billed
Out,Fuel,1138.13,2/2/2026,Credit,Metrobank Toyota CC,Billed
Out,Fuel,1321.38,2/13/2026,Credit,Metrobank Toyota CC,Billed
Out,Money Into Pocket,1300.00,2/18/2026,E-Wallet,GCash,From Papa's PLDT bill payment
Out,Food Panda - Lunch,308.25,2/19/2026,Credit,Maya Black CC,Billed
Out,Food Panda - Lunch,1064.00,2/21/2026,Credit,Maya Black CC,Billed
Out,Fuel,86.75,2/21/2026,Credit,Metrobank Toyota CC,Fuel total = 1086.75; Djamae = 1000
Out,Groceries,950.25,2/22/2026,Credit,Metrobank Toyota CC,Billed
Out,Money Into Pocket,2720.00,2/23/2026,Cash,Metrobank Savings,Billed
Out,McDo Iligan San Miguel,480.00,2/25/2026,Credit,Maya Black CC,Billed
Out,Grab Food - Lunch,605.00,2/27/2026,Credit,Maya Black CC,Billed
Out,Food Panda - Lunch,352.00,2/27/2026,Credit,Maya Black CC,Billed
Out,Fuel,1211.76,2/27/2026,Credit,Metrobank Toyota CC,Billed
In,Medical Allowance,7000.00,3/3/2026,Cash,Landbank,
In,Salary Differential - Jan 2026,1782.69,3/13/2026,Cash,Landbank,Salary difference after implementation of 3rd tranche of SSL VI
In,Salary Differential - Feb 2026,1782.69,3/13/2026,Cash,Landbank,Salary difference after implementation of 3rd tranche of SSL VI
In,Basic Pay,34275.23,3/18/2026,Cash,Landbank,Paid salary
Out,Meta Verified,773.25,3/1/2026,Credit,Atome,Billed
Out,Apple,514.47,3/1/2026,Credit,Atome,Billed
Out,YouTube Premium,194.86,3/2/2026,Credit,Atome,Billed
Out,PLDT,2595.00,3/18/2026,Credit,Atome,Billed
Out,PMC-iPad Air,2015.00,3/22/2026,Credit,Unionbank CC,Billed
Out,Netflix,812.43,3/28/2026,Credit,Atome,Billed
Out,Discord Nitro,272.17,3/28/2026,Credit,Atome,Billed
Out,Family Support,10000.00,3/22/2026,Cash,Landbank,Withdrawn
Out,Groceries - Gaisano,2254.45,3/1/2026,Credit,Unionbank CC,Billed
Out,Food PandaPro,399.00,3/2/2026,Credit,Maya Black CC,Billed
Out,Food Panda - Lunch,229.71,3/2/2026,Credit,Maya Black CC,Billed
Out,Money Into Pocket,272.00,3/2/2026,Cash,Cash,Para balon Pasing & Papa @ Luinab Gym
Out,Fuel,1307.58,3/7/2026,Credit,Metrobank Toyota CC,Billed
Out,Food Panda - Lunch,487.00,3/7/2026,Credit,Maya Black CC,Billed
Out,Groceries - Robinsons Supermarket,3442.81,3/8/2026,Credit,Unionbank CC,Billed
Out,Money Into Pocket,200.00,3/10/2026,Cash,Cash,Load - Daddy Arthur thru GCash
Out,Lunch,208.00,3/12/2026,E-Wallet,GCash,QR Code Payment
